station_id,target,data_version,model,information_combination,window,evaluation_split,n_gap_lengths,gap_lengths,n_complete_anchor_curves,n_incomplete_anchor_curves_excluded,n_bootstrap_clusters,n_resampleable_station_year_strata,n_bootstrap_samples,raw_frontier_days,raw_frontier_censoring,monotone_frontier_days,monotone_frontier_censoring,bootstrap_unit,joint_cross_gap_resampling,reason,statistical_frontier_days,statistical_frontier_censoring,statistical_frontier_status,raw_frontier_days_ci_lower,raw_frontier_days_ci_upper,raw_frontier_days_finite_bootstrap,raw_frontier_days_left_censored_bootstrap,raw_frontier_days_right_censored_bootstrap,monotone_frontier_days_ci_lower,monotone_frontier_days_ci_upper,monotone_frontier_days_finite_bootstrap,monotone_frontier_days_left_censored_bootstrap,monotone_frontier_days_right_censored_bootstrap,breakpoint_days,breakpoint_reason,n_anchors,n_years,p_value,n_hypothesis_units,n_hypothesis_clusters,hypothesis_estimand,hypothesis_family,hypothesis_status,training_seeds_collapsed_first,p_bh,bh_family_size,bh_finite_hypotheses,bh_reject,bh_alpha,bh_scope,frontier_denominator,frontier_code_path,status
B1,T,published_v2,air_hydro,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,5.067605814833405,5.067605814833405,92,1908,0,131.91907205600864,131.91907205600864,92,1908,0,3.0,,20,3,3.814697265625e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,air_only,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,365.0,365.0,69,1931,69,365.0,365.0,513,1487,513,3.0,,20,3,0.7841262817382812,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.8182187287703805,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,climatology,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,reference_not_tested,True,,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,donor_regression,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,1.442628035009556,,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,1.4426280350095557,365.0,1247,753,597,365.0,365.0,1247,753,1247,3.0,,20,3,0.082550048828125,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.11654124540441177,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,kalman,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,36.53042265246044,,36.53042265246044,,station_year_overlap_cluster,True,,7.098824149688343,,threshold_crossing_interpolated,7.0175731367966385,48.9974715860601,2000,0,0,7.098824149688343,48.53753571652163,2000,0,0,240.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,linear,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,9.91350387410337,,38.34747224793686,,station_year_overlap_cluster,True,,6.9896354674196575,,threshold_crossing_interpolated,6.989938847317578,48.66731168403128,2000,0,0,6.9896354674196575,48.66731168403128,2000,0,0,120.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,pchip,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,31.080693272258745,,30.98782993676938,,station_year_overlap_cluster,True,,8.764246720468426,,threshold_crossing_interpolated,7.570218490789621,38.21908307933701,2000,0,0,8.772964094908234,46.21196716952097,2000,0,0,150.0,,20,3,1.9073486328125e-06,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,random_forest,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,365.0,right,365.0,right,station_year_overlap_cluster,True,,365.0,right,above_threshold_through_largest_gap,365.0,365.0,2000,0,2000,365.0,365.0,2000,0,2000,3.0,,20,3,1.33514404296875e-05,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,4.00543212890625e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
B1,T,published_v2,xgboost,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,365.0,right,365.0,right,station_year_overlap_cluster,True,,365.0,right,above_threshold_through_largest_gap,4.774011609085998,365.0,2000,0,1183,365.0,365.0,2000,0,2000,3.0,,20,3,0.0042209625244140625,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.008441925048828125,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,air_hydro,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,7.076298112291649,7.687033908454415,293,1707,0,3.0,,20,3,1.0,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.0,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,air_only,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,2.8430389943544188,,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,1.1692096228718083,365.0,1710,290,709,2.01207165463847,365.0,1710,290,1490,3.0,,20,3,0.09730720520019531,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.1229143644634046,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,climatology,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,reference_not_tested,True,,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,donor_regression,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,1.1016486956696492,365.0,285,1715,58,365.0,365.0,1170,830,1170,3.0,,20,3,0.20244979858398438,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.23137119838169642,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,kalman,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,173.55142579071386,,173.55142579071386,,station_year_overlap_cluster,True,,159.99221446109107,,threshold_crossing_interpolated,161.63193724600717,188.33536930990658,2000,0,0,161.63193724600717,188.33536930990658,2000,0,0,240.0,,20,3,0.0042209625244140625,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.008441925048828125,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,linear,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,114.18902136970158,,114.18902136970158,,station_year_overlap_cluster,True,,100.32862666329632,,threshold_crossing_interpolated,100.32862666329632,127.73023302674247,2000,0,0,100.32862666329632,127.73023302674247,2000,0,0,240.0,,20,3,0.082550048828125,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.11654124540441177,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,pchip,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,111.91026618611394,,111.91026618611394,,station_year_overlap_cluster,True,,93.1190303464094,,threshold_crossing_interpolated,92.26201912210364,155.42405644198314,2000,0,0,93.1190303464094,155.42405644198314,2000,0,0,90.0,,20,3,0.09730720520019531,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.1229143644634046,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,random_forest,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,365.0,365.0,83,1917,83,365.0,365.0,1480,520,1480,3.0,,20,3,0.16495704650878906,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.19794845581054688,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
P3,T,published_v2,xgboost,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",20,0,3,0,2000,,left,365.0,right,station_year_overlap_cluster,True,,365.0,right,above_threshold_through_largest_gap,365.0,365.0,280,1720,280,365.0,365.0,2000,0,2000,3.0,,20,3,0.017181396484375,20,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.029453822544642856,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,air_hydro,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,,left,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,3.3542597351935037,365.0,316,1684,81,365.0,365.0,1484,516,1484,3.0,,20,3,0.07283401489257812,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.116534423828125,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,air_only,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,2.4140922211493354,3.464871203732476,286,1714,0,4.190786251649128,365.0,805,1195,748,3.0,,20,3,0.6507492065429688,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.7099082253196023,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,climatology,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,,left,,left,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,,,0,2000,0,,,0,2000,0,3.0,,20,3,,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,reference_not_tested,True,,27,24,False,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,donor_regression,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,365.0,right,365.0,right,station_year_overlap_cluster,True,,,left,below_threshold_at_smallest_gap,365.0,365.0,1503,497,1503,365.0,365.0,1928,72,1928,3.0,,20,3,0.007144927978515625,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,0.013190636268028846,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,kalman,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,45.52881980534125,,45.52881980534125,,station_year_overlap_cluster,True,,22.70165720762282,,threshold_crossing_interpolated,2.8553774817647035,120.69771289696901,2000,0,0,22.70165720762282,120.37763399625412,2000,0,0,240.0,,20,3,3.814697265625e-06,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
S2,T,published_v2,linear,full_information,736,development_test,15,"[1.0,3.0,7.0,10.0,14.0,21.0,30.0,45.0,60.0,90.0,120.0,150.0,180.0,240.0,365.0]",19,1,3,0,2000,39.167827683687406,,39.167827683687406,,station_year_overlap_cluster,True,,22.409912054797175,,threshold_crossing_interpolated,2.866777743957183,81.0181226107633,2000,0,0,22.409912054797175,79.2079645372589,2000,0,0,90.0,,20,3,3.814697265625e-06,19,1,mean_skill_across_predeclared_gaps_per_anchor_year,frontier_model_vs_climatology,tested,True,1.3078962053571428e-05,27,24,True,0.05,within_named_hypothesis_family,climatology,canonical_anchor_year_overlap_aware,ok
